key_id,topic,metric,value,unit,effective_period,management_implication,model_use_guidance,source_document,source_page,evidence_excerpt
MD_PLAN_SCOPE_2024_2030,Plan Scope,Plan Effective Period,December 2024 through December 2030,date range,2024-12 to 2030-12,Use this plan as active statewide policy baseline.,Policy reference only; not direct p_draw input.,mule_deer_plan.pdf,2,...in effect for 6 years (December 2024 through December 2030).
MD_POP_OBJ_STATEWIDE,Population Objective,Statewide Population Objective,404900,deer,2024 plan cycle,Anchor for unit plan rollups and statewide progress tracking.,Management context only.,mule_deer_plan.pdf,11,"The current statewide population objective ... is 404,900."
MD_POSTSEASON_2023_EST,Population Status,2023 Postseason Population Estimate,279000,deer,2023 postseason,Confirms statewide herd below objective.,Context signal only.,mule_deer_plan.pdf,6,"2023 postseason estimate approximately 279,000 deer; 69% of objective."
MD_GENERAL_RATIO_OBJECTIVE,Harvest Structure,General Season Buck-to-Doe Objective,15-17 or 18-20,bucks per 100 does,2024-2030 plan,General units managed to one of these bands.,Use for policy routing.,mule_deer_plan.pdf,24,Manage general-season units for 15-17 or 18-20 bucks per 100 does.
MD_LIMITED_ENTRY_RATIO_OBJECTIVE,Harvest Structure,Limited Entry Buck-to-Doe Objective,25-30,bucks per 100 does,2024-2030 plan,LE units target tighter mature buck structure.,Quality expectation feature.,mule_deer_plan.pdf,25,Manage designated limited-entry units for 25-30 bucks per 100 does.
MD_PREMIUM_LE_RATIO_OBJECTIVE,Harvest Structure,Premium Limited Entry Buck-to-Doe Objective,40-45,bucks per 100 does,2024-2030 plan,Premium LE top-end quality bracket.,Quality context feature.,mule_deer_plan.pdf,25,Manage premium limited-entry units for 40-45 bucks per 100 does.
MD_PERMIT_AUTOMATIC_DELTA,Permit Governance,Automatic Annual Permit Change Threshold,20,percent,2024-2030 plan,Changes up to plus/minus 20% can be automatic.,Larger changes need governance review.,mule_deer_plan.pdf,24-25,Changes over 20% go through RAC and Wildlife Board process.
MD_WEAPON_SPLIT_STANDARD,Permit Allocation,Standard Weapon Split,20/20/60,archery/muzzleloader/any weapon percent,2024-2030 plan,Baseline seasonal permit allocation guidance.,Expected split where not overridden.,mule_deer_plan.pdf,26,"20% archery, 20% muzzleloader, 60% any weapon."
MD_WEAPON_SPLIT_EARLY_AW,Permit Allocation,Split When Early Any Weapon Added,20/20/20/40,archery/muzzleloader/early any/late any percent,2024-2030 plan,Alternative split when early any hunt used.,Scenario note.,mule_deer_plan.pdf,26,...20/20/20/40 allocation when early any legal weapon hunt is added.
MD_MULTI_SEASON_SHARE,Permit Allocation,Multi-season Permit Share,3,percent of hunters,2024-2030 plan,Small share can be converted to multi-season permits.,Quota modifier context.,mule_deer_plan.pdf,26,Allow 3% of hunters to hunt all seasons for increased fee.
MD_LATE_MUZZLELOADER_GENERAL_UNITS,Hunt Opportunity,Late Muzzleloader on General Units,up to 0.5% with minimum 5 permits per unit,permit rule,2024-2030 plan,Bounded additional LE late-season opportunity.,Capped adjunct permit feature.,mule_deer_plan.pdf,26,Up to 0.5% of general-season draw total with minimum of 5 permits each unit.
MD_PREMIUM_MGMT_BUCK_SHARE,Premium LE Policy,Management Buck Permit Share,10-20,percent of premium LE permits,2024-2030 plan,Premium LE includes management-buck carveout.,Age-structure context.,mule_deer_plan.pdf,26,Between 10-20% of premium LE permits issued as management buck permits.
MD_PERMITS_GENERAL_2024,Recent Baseline,General-season permits available,71525,permits,2024,Current-cycle supply benchmark.,Historical check only.,mule_deer_plan.pdf,4,"Total general-season deer permits available in 2024 was 71,525."
MD_HARVEST_10YR_AVG,Recent Baseline,10-year average buck harvest,25062,bucks per year,10-year window ending 2023,Harvest throughput anchor.,Statewide trend sanity check only.,mule_deer_plan.pdf,5,"Average of 25,062 bucks harvested each year over last 10 years."
MD_HUNTER_SUCCESS_2023,Recent Baseline,General-season any-weapon hunter success,35.0,percent,2023,Recent success benchmark.,Opportunity messaging context.,mule_deer_plan.pdf,5,Statewide average hunter success in 2023 was 35.0%.
MD_ADULT_FEMALE_SURVIVAL_10YR,Monitoring Metrics,Adult female survival average,79.8,percent,10-year monitoring period,Adult doe survival strongly influences growth.,Population trend context only.,mule_deer_plan.pdf,7,Adult female survival averaged 79.8%.
