hunt_code,species,hunt_name,unit,weapon,permits_2026,classification,modeled,has_prediction,has_point_ladder,has_crosswalk,has_harvest_evidence,has_coverage_record,display_odds_or_probability,model_version,final_state,gate_status,manual_review_required,source_current_database,source_prediction,source_crosswalk,source_coverage
BI6500,Bison,Antelope Island,,Any Legal Weapon,,Modeled by the accepted Utah bonus predictive engine.,true,true,true,false,true,true,0.000037,hybrid_ml_v2.1.0,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
DB0009,Deer,Antelope Island - Conservation/Expo,,Any Legal Weapon,,"OTC, remaining-permit, conservation, expo, and sportsman target-scope categories are excluded from predictive draw-odds modeling.",true,true,true,false,true,true,,,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
DB1002,Deer,Antelope Island Premium,,Any Legal Weapon,,Modeled by the accepted Utah bonus predictive engine.,true,true,true,false,true,true,0.000051,hybrid_ml_v2.1.0,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
DB1121,Deer,Antelope Island Management,,Any Legal Weapon,,"General-season buck deer uses a preference-point model and only promotes rows with valid source history, quota, and modeled preference probabilities.",true,true,true,false,false,true,,,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
RS1000,Rocky Mountain Bighorn Sheep,Antelope Island Conservation,,Any Legal Weapon,,"OTC, remaining-permit, conservation, expo, and sportsman target-scope categories are excluded from predictive draw-odds modeling.",true,true,true,false,true,true,,,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
RS6700,Rocky Mountain Bighorn Sheep,Antelope Island,,Any Legal Weapon,,Modeled by the accepted Utah bonus predictive engine.,true,true,true,false,true,true,0.000000,hybrid_ml_v2.1.0,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
DA1041,Deer,"Nine Mile, Green River Valley",,Any Legal Weapon,,"Antlerless deer uses a preference-point model and only promotes rows with valid public standard-pool history, quota, and modeled preference probabilities.",true,true,true,false,true,true,0.0,,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
BR1008,Black Bear,Book Cliffs,,Pursuit Only,,"Public limited-entry and restricted-pursuit bear rows use the Utah bonus model only when the source history proves real draw status, valid quota, and modeled bonus probabilities.",true,true,true,false,false,true,65.3,hybrid_ml_v2.1.0,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
BR1011,Black Bear,Book Cliffs,,Pursuit Only,,"Public limited-entry and restricted-pursuit bear rows use the Utah bonus model only when the source history proves real draw status, valid quota, and modeled bonus probabilities.",true,true,true,false,false,true,59.9,hybrid_ml_v2.1.0,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
BR1015,Black Bear,Book Cliffs,,Pursuit Only,,"Public limited-entry and restricted-pursuit bear rows use the Utah bonus model only when the source history proves real draw status, valid quota, and modeled bonus probabilities.",true,true,true,false,false,true,29.9,hybrid_ml_v2.1.0,PREDICTION_ELIGIBLE_AND_MODELED,PASS,false,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,processed_data/draw_reality_engine_predictive_v2.csv,,processed_data/draw_system_coverage_report.csv
