hunt_code,hunt_name,species,residency,tag,tag_category,reason,data_confidence
BI1000,Bison - Statewide Permit,Bison,Nonresident,STATUS_OR_AVAILABILITY_ONLY,APPLICATION_ODDS,Hunt is status/availability or special-permit oriented rather than a normal point-probability row.,MEDIUM
BI1000,Bison - Statewide Permit,Bison,Nonresident,LONG_SHOT,APPLICATION_ODDS,Modeled median draw probability is 0%.,MEDIUM
BI1000,Bison - Statewide Permit,Bison,Nonresident,HIGH_HARVEST_SUCCESS,QUALITY_OBJECTIVE,Harvest success 100% is strong.,MEDIUM
BI1000,Bison - Statewide Permit,Bison,Nonresident,NO_VERIFIED_AGE_DATA,QUALITY_OBJECTIVE,No verified age or age-structure metric is available for this hunt code.,MEDIUM
BI1000,Bison - Statewide Permit,Bison,Nonresident,FREEZER_FILLER,HUNTER_PERSONA,Meat-opportunity signal from antlerless classification or high harvest success.,MEDIUM
BI1000,Bison - Statewide Permit,Bison,Nonresident,HARD_DRIVER,HUNTER_PERSONA,Likely harder or more specialized hunt class based on species/class/weapon text.,MEDIUM
BI1000,Bison - Statewide Permit,Bison,Nonresident,HIGH_PRESSURE_HUNT,NEW_TREND,Runtime feed marks demand pressure as high.,MEDIUM
BI1000,Sportsman Bison,Bison,Resident,STATUS_OR_AVAILABILITY_ONLY,APPLICATION_ODDS,Hunt is status/availability or special-permit oriented rather than a normal point-probability row.,MEDIUM
BI1000,Sportsman Bison,Bison,Resident,LONG_SHOT,APPLICATION_ODDS,Modeled median draw probability is 0%.,MEDIUM
BI1000,Sportsman Bison,Bison,Resident,HIGH_HARVEST_SUCCESS,QUALITY_OBJECTIVE,Harvest success 100% is strong.,MEDIUM
BI1000,Sportsman Bison,Bison,Resident,NO_VERIFIED_AGE_DATA,QUALITY_OBJECTIVE,No verified age or age-structure metric is available for this hunt code.,MEDIUM
BI1000,Sportsman Bison,Bison,Resident,FREEZER_FILLER,HUNTER_PERSONA,Meat-opportunity signal from antlerless classification or high harvest success.,MEDIUM
BI1000,Sportsman Bison,Bison,Resident,HARD_DRIVER,HUNTER_PERSONA,Likely harder or more specialized hunt class based on species/class/weapon text.,MEDIUM
BI1000,Sportsman Bison,Bison,Resident,HIGH_PRESSURE_HUNT,NEW_TREND,Runtime feed marks demand pressure as high.,MEDIUM
BI6500,Antelope Island,Bison,Nonresident,LONG_SHOT,APPLICATION_ODDS,Modeled median draw probability is 0%.,MEDIUM
BI6500,Antelope Island,Bison,Nonresident,HIGH_HARVEST_SUCCESS,QUALITY_OBJECTIVE,Harvest success 100% is strong.,MEDIUM
BI6500,Antelope Island,Bison,Nonresident,NO_VERIFIED_AGE_DATA,QUALITY_OBJECTIVE,No verified age or age-structure metric is available for this hunt code.,MEDIUM
BI6500,Antelope Island,Bison,Nonresident,FREEZER_FILLER,HUNTER_PERSONA,Meat-opportunity signal from antlerless classification or high harvest success.,MEDIUM
BI6500,Antelope Island,Bison,Nonresident,HARD_DRIVER,HUNTER_PERSONA,Likely harder or more specialized hunt class based on species/class/weapon text.,MEDIUM
BI6500,Antelope Island,Bison,Nonresident,TROPHY_DREAMER,HUNTER_PERSONA,Trophy/quality-oriented class or objective context.,MEDIUM
BI6500,Antelope Island,Bison,Nonresident,POINT_SAVER,HUNTER_PERSONA,High-demand quality hunt where saving points may be rational.,MEDIUM
BI6500,Antelope Island,Bison,Nonresident,HIGH_PRESSURE_HUNT,NEW_TREND,Runtime feed marks demand pressure as high.,MEDIUM
BI6500,Antelope Island,Bison,Resident,LONG_SHOT,APPLICATION_ODDS,Modeled median draw probability is 0%.,MEDIUM
BI6500,Antelope Island,Bison,Resident,MAX_POINT_HUNT,APPLICATION_ODDS,Hunt has a meaningful max-point draw line.,MEDIUM
BI6500,Antelope Island,Bison,Resident,HIGH_HARVEST_SUCCESS,QUALITY_OBJECTIVE,Harvest success 100% is strong.,MEDIUM
